"A0","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15"
Sí,Masculino,16,La Paz,Sí,5,No,No,No,Si,Si,Si,No,regular,mucho,Sí
Sí,Femenino,15,La Paz,No,3,N/A,Sí,Sí,No,No,Si,Sí,buena,mucho,Sí
No,Masculino,15,La Paz,No,1,N/A,N/A,Sí,No,No,Si,No,buena,mucho,Sí
No,Masculino,15,Chuquisaca,No,0,N/A,No,Sí,Si,Si,Si,No,buena,mas o menos,Sí
Sí,Femenino,16,La Paz,Sí,1,Sí,Sí,No,Si,No,Si,Sí,regular,mucho,Sí
Sí,Femenino,16,La Paz,Sí,4,Sí,No,Sí,Si,Si,Si,Sí,excelente,mucho,Sí
Sí,Femenino,16,La Paz,Sí,3,Sí,No,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,15,La Paz,No,3,N/A,No,Sí,No,No sabe/No responde,Si,Sí,buena,mas o menos,No
Sí,Masculino,14,Chuquisaca,No,0,N/A,N/A,Sí,No,No,No,No,buena,poco,Sí
Sí,Femenino,16,La Paz,No,3,N/A,No,No,No,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,15,La Paz,Sí,1,Sí,No,No,Si,No,Si,Sí,regular,mas o menos,Sí
Sí,Femenino,16,La Paz,No,0,N/A,No,Sí,No,No,Si,Sí,buena,mas o menos,Sí
Sí,Femenino,15,La Paz,No,0,N/A,Sí,Sí,No,No,Si,Sí,excelente,mucho,No
Sí,Femenino,16,La Paz,Sí,1,Sí,No,No,No,No,Si,Sí,buena,mucho,Sí
Sí,Masculino,16,La Paz,Sí,7,Sí,Sí,Sí,Si,Si,No sé,Sí,excelente,mucho,Sí
Sí,Masculino,15,La Paz,Sí,2,Sí,No,No,Si,Si,Si,Sí,buena,mucho,Sí
No,Femenino,16,La Paz,Sí,2,Sí,No,No,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Femenino,17,La Paz,Sí,3,Sí,No,Sí,No,Si,Si,No,excelente,mas o menos,Sí
Sí,Masculino,16,La Paz,Sí,2,Sí,No,Sí,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Masculino,15,La Paz,No,5,N/A,Sí,Sí,Si,No,Si,Sí,regular,mucho,Sí
Sí,Femenino,15,La Paz,Sí,2,Sí,No,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,No,0,N/A,N/A,No,No,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,15,La Paz,Sí,5,Sí,Sí,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Masculino,15,Oruro,No,2,N/A,N/A,No,No,No,Si,Sí,buena,mucho,Sí
No,Masculino,15,La Paz,No,3,N/A,No,No,Si,No,Si,No,mala,mucho,No
Sí,Femenino,13,La Paz,Sí,1,Sí,N/A,No,Si,No,Si,Sí,buena,mas o menos,No
Sí,Femenino,16,La Paz,Sí,1,Sí,No,Sí,Si,Si,Si,No,regular,mucho,Sí
Sí,Femenino,15,La Paz,Sí,7,Sí,No,Sí,Si,No,No sé,Sí,regular,mucho,Sí
Sí,Masculino,16,La Paz,Sí,2,Sí,No,Sí,Si,Si,Si,Sí,excelente,mucho,Sí
Sí,Masculino,16,La Paz,Sí,2,Sí,No,Sí,Si,Si,Si,Sí,buena,mas o menos,Sí
Sí,Femenino,17,La Paz,Sí,2,Sí,Sí,No,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Femenino,15,La Paz,Sí,0,Sí,Sí,Sí,Si,Si,Si,Sí,regular,mas o menos,No
Sí,Masculino,13,Chuquisaca,Sí,3,No,No,No,Si,Si,Si,Sí,buena,mas o menos,No
Sí,Femenino,16,La Paz,No,2,N/A,No,No,Si,Si,Si,Sí,regular,mas o menos,Sí
Sí,Femenino,16,La Paz,Sí,3,Sí,Sí,Sí,Si,Si,Si,Sí,excelente,mucho,Sí
Sí,Femenino,18,La Paz,No,1,N/A,Sí,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,Sí,1,Sí,Sí,Sí,No,No,Si,Sí,buena,mucho,Sí
No,Masculino,13,Chuquisaca,No,0,N/A,No,Sí,Si,No,No,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,Sí,7,No,No,No,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,14,Chuquisaca,No,1,N/A,No,No,No,No,Si,No,regular,mas o menos,Sí
Sí,Femenino,18,La Paz,Sí,2,Sí,Sí,No,Si,No,Si,Sí,buena,mucho,Sí
Sí,Masculino,16,Oruro,Sí,2,No,N/A,No,No,No,Si,Sí,buena,mucho,Sí
Sí,Masculino,16,Chuquisaca,No,3,N/A,No,Sí,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,Sí,2,Sí,No,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,Sí,6,Sí,Sí,No,Si,Si,Si,Sí,excelente,mucho,Sí
Sí,Masculino,14,Chuquisaca,No,0,N/A,No,Sí,No,Si,Si,No,regular,poco,No
Sí,Masculino,15,La Paz,Sí,3,Sí,No,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,Sí,1,Sí,Sí,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Masculino,15,La Paz,Sí,2,Sí,Sí,Sí,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Masculino,15,La Paz,Sí,3,Sí,Sí,Sí,Si,Si,Si,Sí,regular,mucho,Sí
Sí,Masculino,16,Oruro,Sí,2,No,N/A,No,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,18,La Paz,Sí,2,Sí,Sí,Sí,Si,No,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,La Paz,Sí,2,Sí,No,No,Si,No,Si,Sí,excelente,mas o menos,Sí
Sí,Masculino,17,La Paz,Sí,3,Sí,Sí,Sí,Si,No sabe/No responde,Si,Sí,buena,mucho,Sí
No,Masculino,16,Chuquisaca,No,0,N/A,N/A,No,Si,Si,Si,Sí,buena,mas o menos,Sí
Sí,Femenino,16,Chuquisaca,Sí,4,Sí,No,No,Si,Si,Si,Sí,buena,mucho,Sí
No,Masculino,19,Chuquisaca,No,7,N/A,No,Sí,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Masculino,17,La Paz,Sí,5,Sí,Sí,No,Si,Si,Si,Sí,excelente,mucho,Sí
Sí,Masculino,18,Chuquisaca,No,3,N/A,N/A,Sí,Si,Si,Si,No,buena,poco,No
Sí,Masculino,17,Chuquisaca,Sí,5,Sí,No,No,Si,Si,Si,Sí,buena,mas o menos,Sí
Sí,Masculino,17,Chuquisaca,No,1,N/A,No,Sí,Si,No,Si,Sí,regular,mas o menos,Sí
Sí,Masculino,17,Chuquisaca,No,0,N/A,No,No,No,No,No,Sí,buena,mas o menos,Sí
Sí,Femenino,16,La Paz,Sí,6,Sí,No,No,Si,No sabe/No responde,No,Sí,buena,mucho,Sí
Sí,Masculino,16,Chuquisaca,No,1,N/A,Sí,Sí,Si,No,No,Sí,excelente,mucho,Sí
Sí,Femenino,18,La Paz,Sí,1,Sí,N/A,No,Si,Si,Si,Sí,buena,mucho,Sí
Sí,Femenino,16,Chuquisaca,Sí,2,No,No,No,Si,Si,Si,Sí,buena,poco,Sí
No,Masculino,17,Chuquisaca,No,1,N/A,No,No,No,Si,Si,Sí,buena,mucho,Sí
Sí,Femenino,17,La Paz,Sí,1,Sí,Sí,No,No,Si,No,Sí,buena,mucho,Sí
